GW1,GW2,GW3,GW4,GW5,GW6,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW19*,GW20,GW20*,GW21,GW22,GW23,GW23*,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
171.0,257.0,197.0,383.0,366.0,216.0,186.0,274.0,257.0,122.0,,157.0,402.0,153.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,
141.0,199.0,110.0,90.0,57.0,58.0,163.0,230.0,184.0,222.0,185.0,277.0,74.0,73.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,34.0,47.0,50.0,81.0,115.0,81.0,78.0,185.0,143.0,173.0,88.0,97.0,157.0,271.0,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,203.0,210.0,238.0,123.0,169.0,79.0,164.0,118.0,107.0,154.0,155.0,156.0,77.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,
207.0,200.0,141.0,140.0,115.0,313.0,,134.0,192.0,303.0,241.0,105.0,250.0,241.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,
217.0,222.0,187.0,103.0,180.0,151.0,,160.0,245.0,103.0,181.0,77.0,188.0,87.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,
180.0,74.0,200.0,28.0,133.0,223.0,,71.0,158.0,46.0,187.0,124.0,145.0,202.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,
128.0,228.0,228.0,186.0,100.0,174.0,79.0,202.0,158.0,33.0,24.0,141.0,137.0,194.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,
149.0,117.0,282.0,131.0,95.0,74.0,200.0,64.0,99.0,259.0,242.0,194.0,276.0,56.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,
133.0,75.0,84.0,194.0,68.0,90.0,178.0,181.0,185.0,207.0,79.0,96.0,123.0,257.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
148.0,252.0,175.0,124.0,149.0,179.0,,90.0,152.0,215.0,151.0,201.0,160.0,252.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,
210.0,300.0,286.0,355.0,335.0,305.0,,229.0,111.0,121.0,278.0,217.0,322.0,173.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,
162.0,242.0,319.0,249.0,262.0,203.0,193.0,366.0,313.0,250.0,,166.0,149.0,228.0,403.0,,,,,,,,,,,,,,,,,,,,,,,,,
282.0,152.0,158.0,223.0,108.0,129.0,,173.0,115.0,151.0,300.0,127.0,181.0,135.0,234.0,,,,,,,,,,,,,,,,,,,,,,,,,
324.0,49.0,193.0,262.0,34.0,412.0,240.0,397.0,222.0,110.0,210.0,198.0,243.0,111.0,162.0,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,145.0,141.0,182.0,63.0,161.0,124.0,101.0,72.0,91.0,18.0,145.0,63.0,173.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,
118.0,142.0,99.0,212.0,137.0,158.0,71.0,263.0,25.0,139.0,150.0,133.0,174.0,193.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,
260.0,170.0,177.0,217.0,182.0,337.0,261.0,90.0,76.0,335.0,123.0,253.0,307.0,193.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,151.0,180.0,77.0,132.0,98.0,213.0,210.0,266.0,271.0,114.0,225.0,175.0,43.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,
178.0,79.0,169.0,118.0,186.0,114.0,57.0,156.0,85.0,124.0,116.0,345.0,144.0,126.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,
