GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW21*,GW22,GW22*,GW23,GW23*,GW24,GW25,GW25*,GW26,GW26*,GW27,GW27*,GW28,GW28*,GW29,GW29*,GW30,GW31,GW31*,GW32,GW33,GW33*,GW34,GW34*,GW35,GW36,GW36*,GW37,GW37*,GW38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28865376278125,,145.6125067326223,137.96157720095087,156.28533619997148,123.84151773830474,,130.52991152527756
