,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Mohamed Salah,Liverpool,Midfielder,56.513513513513516,61.5,37,34,61.54192435903122,,0.0,26.0,58.0,23.0,,26.0,,74.0,8.0,,32.0,,41.0,102.0,,61.0,,,89.0,109.0,,16.0,79.0,,0.0,,0.0,,65.0,69.0,,40.0,54.0,103.0,31.0,69.0,61.0,93.0,38.0,51.0,90.0,91.0,57.0,47.0,115.0,77.0,48.0,78.0,70.0
2,Harry Kane,Spurs,Forward,45.972972972972975,47.25,37,36,65.81600271971355,,92.0,144.0,22.0,54.0,,47.0,,11.0,23.0,,51.0,40.0,49.0,31.0,,62.0,,37.0,23.0,67.0,,106.0,16.0,,17.0,,116.0,,80.0,39.0,23.0,103.0,,,27.0,59.0,,83.0,28.0,24.0,25.0,35.0,68.0,34.0,19.0,0.0,29.0,17.0,0.0
3,Cristiano Ronaldo dos Santos Aveiro,Man Utd,Forward,45.14705882352941,51.166666666666664,34,30,45.137565036193536,,,,32.0,34.0,35.0,45.0,0.0,97.0,41.0,,0.0,,,103.0,,0.0,,61.0,,53.0,71.0,47.0,26.0,,43.0,47.0,0.0,,15.0,78.0,37.0,,,48.0,82.0,75.0,2.0,53.0,17.0,37.0,45.0,37.0,8.0,41.0,135.0,90.0,,,
4,Sadio Mane,Liverpool,Midfielder,41.432432432432435,46.45454545454545,37,33,46.10915073450358,,0.0,54.0,17.0,31.0,,11.0,,43.0,21.0,,18.0,,6.0,61.0,,88.0,,,45.0,55.0,,46.0,0.0,,0.0,,0.0,,36.0,63.0,,35.0,49.0,83.0,27.0,53.0,25.0,56.0,60.0,49.0,18.0,33.0,17.0,13.0,59.0,131.0,82.0,96.0,52.0
5,Bukayo Saka,Arsenal,Midfielder,37.945945945945944,37.945945945945944,37,37,39.452713404366754,,38.0,30.0,31.0,41.0,,79.0,49.0,49.0,54.0,,10.0,46.0,7.0,93.0,,23.0,,,87.0,78.0,,,18.0,,49.0,,,,23.0,,34.0,88.0,39.0,35.0,13.0,20.0,40.0,38.0,6.0,28.0,46.0,2.0,25.0,32.0,22.0,104.0,6.0,9.0,12.0
6,Ollie Watkins,Aston Villa,Forward,36.0,39.27272727272727,36,33,21.098406454354624,50.593979804445524,41.0,23.0,62.0,73.0,,54.0,,,39.0,,58.0,30.0,,63.0,42.0,38.0,,21.0,,28.0,,1.0,7.0,,10.0,,35.0,,0.0,,30.0,,161.0,8.0,39.0,27.0,8.0,25.0,16.0,34.0,36.0,48.0,47.0,28.0,10.0,120.0,34.0,0.0,0.0
7,Diogo Jota,Liverpool,Midfielder,35.86486486486486,39.029411764705884,37,34,39.64060677832779,,56.0,18.0,2.0,86.0,,14.0,,17.0,42.0,,68.0,,21.0,4.0,,1.0,,,0.0,0.0,,8.0,72.0,,15.0,,96.0,,6.0,44.0,,35.0,125.0,12.0,47.0,32.0,124.0,46.0,11.0,2.0,45.0,0.0,21.0,40.0,34.0,47.0,63.0,37.0,36.0
8,Luis Diaz,Liverpool,Midfielder,35.333333333333336,44.166666666666664,15,12,40.39472123107118,,0.0,22.0,56.0,72.0,,39.0,,56.0,0.0,,0.0,,0.0,48.0,,61.0,,,53.0,73.0,,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ivan Toney,Brentford,Forward,34.7027027027027,40.125,37,32,46.58657286273223,,36.0,,57.0,31.0,,59.0,,13.0,77.0,,81.0,38.0,,58.0,,69.0,,18.0,,0.0,,0.0,0.0,,62.0,84.0,38.0,59.0,5.0,2.0,36.0,,,0.0,0.0,56.0,17.0,46.0,28.0,43.0,43.0,39.0,19.0,27.0,30.0,10.0,33.0,66.0,4.0
10,Michail Antonio,West Ham,Forward,34.13513513513514,36.08571428571429,37,35,34.48926420030733,,7.0,,57.0,2.0,,0.0,,93.0,2.0,,49.0,17.0,,10.0,,45.0,,33.0,,28.0,,6.0,6.0,,21.0,,30.0,6.0,53.0,66.0,70.0,,0.0,12.0,8.0,27.0,8.0,17.0,18.0,34.0,39.0,74.0,40.0,99.0,0.0,39.0,105.0,87.0,55.0
