GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW19*,GW20,GW21,GW22,GW23,GW24,GW24*,GW25,GW25*,GW26,GW26*,GW27,GW27*,GW28,GW29,GW30,GW31,GW32,GW32*,GW33,GW34,GW35,GW35*,GW35**,GW36,GW37,GW38
0.0,1,3,1,1,1,0,3,0,2,2.0,1,1,2,1,0.0,0.0,0.0,0.0,,1,0,2,1,2,,1,,1,,1,,1,3.0,3,0,1.0,,1.0,0.0,1,0.0,,,1,0
,0,0,2,0,3,4,0,2,2,,0,0,0,0,1.0,2.0,,2.0,0.0,3,0,3,0,0,,2,,0,1.0,0,,1,2.0,1,2,2.0,,2.0,1.0,3,0.0,,3.0,1,1
3.0,0,3,4,1,1,2,0,1,1,2.0,3,0,1,2,1.0,3.0,1.0,0.0,,0,0,0,1,0,,2,,1,,2,,1,0.0,2,0,0.0,,1.0,0.0,2,,,1.0,2,2
,4,1,3,0,1,3,0,0,5,1.0,0,0,1,1,0.0,,1.0,1.0,0.0,2,2,2,1,0,1.0,0,,4,1.0,1,,1,,3,2,3.0,,0.0,2.0,0,,,4.0,3,1
1.0,2,3,0,3,0,0,1,0,0,1.0,1,2,0,3,1.0,3.0,,0.0,2.0,0,0,0,1,0,,1,,0,0.0,0,,0,,5,1,0.0,,0.0,0.0,1,1.0,,,1,2
0.0,1,2,4,1,1,2,1,1,2,1.0,1,1,7,3,1.0,0.0,0.0,4.0,,3,0,1,2,3,,1,,0,0.0,4,,0,,1,4,,,2.0,2.0,0,3.0,,2.0,3,2
0.0,2,1,2,2,2,2,3,2,1,1.0,0,0,1,0,,1.0,1.0,,,1,2,1,3,2,3.0,0,,0,0.0,2,,2,,1,0,2.0,,0.0,2.0,0,0.0,,1.0,0,5
3.0,4,3,1,1,2,0,1,3,1,2.0,1,0,1,0,,,1.0,1.0,2.0,0,2,2,0,0,1.0,0,,0,1.0,0,,3,2.0,3,1,1.0,,,2.0,2,,,3.0,1,2
0.0,2,2,3,1,0,1,0,3,2,1.0,0,2,0,2,1.0,1.0,,0.0,0.0,1,3,0,0,1,,1,,3,1.0,1,,0,,2,3,0.0,,1.0,1.0,4,1.0,,,2,4
4.0,3,0,1,1,0,4,4,0,0,3.0,2,2,6,0,0.0,3.0,,1.0,,1,1,2,0,4,,1,0.0,1,,2,,0,1.0,1,1,1.0,,0.0,2.0,1,,,0.0,0,1
3.0,0,1,7,2,1,1,1,0,1,0.0,1,1,0,1,0.0,1.0,,0.0,1.0,1,1,1,4,3,,2,,0,1.0,1,,0,,0,1,1.0,,1.0,,0,2.0,,1.0,0,0
,1,5,1,0,1,0,1,2,0,0.0,0,1,0,0,,1.0,0.0,0.0,0.0,0,0,0,1,0,1.0,0,,1,1.0,2,2.0,0,,0,2,1.0,,,0.0,2,,,3.0,3,0
,3,2,6,1,0,1,1,0,2,1.0,0,2,2,2,0.0,1.0,0.0,0.0,1.0,2,0,0,3,1,,1,,0,0.0,0,,0,,1,1,1.0,,0.0,,1,2.0,4.0,,1,1
0.0,3,1,1,4,1,1,2,2,0,,1,5,1,2,0.0,2.0,1.0,3.0,2.0,2,0,2,2,2,,3,,1,,0,,1,3.0,2,1,2.0,,1.0,2.0,2,,,4.0,0,0
2.0,1,1,2,1,2,1,4,1,1,2.0,3,3,1,1,1.0,2.0,0.0,3.0,,1,1,1,2,3,,1,,2,0.0,2,,5,,2,3,1.0,,0.0,4.0,2,,,0.0,1,0
1.0,5,0,0,3,0,3,0,1,3,1.0,0,1,1,0,0.0,0.0,,2.0,,3,1,9,3,2,,1,3.0,1,,0,5.0,2,,2,3,2.0,,,1.0,2,1.0,,1.0,2,3
1.0,2,1,1,3,0,1,0,0,0,0.0,1,2,2,1,,0.0,1.0,1.0,,3,1,1,0,3,,2,,0,0.0,1,,2,0.0,2,3,2.0,1.0,,0.0,3,,,0.0,2,2
3.0,5,3,2,0,1,2,1,1,0,5.0,2,1,3,1,5.0,4.0,,2.0,2.0,5,2,2,2,1,,0,,0,1.0,0,,1,,2,0,3.0,,2.0,1.0,3,,,2.0,3,3
2.0,2,0,0,3,1,2,0,0,1,3.0,1,1,3,2,0.0,0.0,,0.0,1.0,2,3,1,0,0,,1,,2,,0,,1,3.0,2,2,3.0,,1.0,1.0,1,,,1.0,1,0
0.0,3,4,0,0,1,0,1,1,1,4.0,1,1,2,1,1.0,3.0,2.0,3.0,,0,1,1,0,1,,0,,1,4.0,0,,1,,3,0,0.0,,4.0,1.0,1,,,2.0,1,2
