GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW19*,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
8.0,19,11,15,12,9,13,2,10,20,17.0,4,16,7,5,3.0,18.0,6.0,14,,16,13,20,2,10,12,9,4,17,19,11,15,8,7.0,14,18,5,6,3
,15,8,11,9,10,16,1,3,19,,20,4,18,6,5.0,13.0,17.0,7,12.0,4,16,19,1,3,9,10,20,14,15,8,11,12,18.0,7,13,6,17,5
5.0,14,13,7,6,18,17,4,2,11,16.0,9,8,15,19,1.0,20.0,12.0,10,,8,17,11,4,2,6,18,9,16,14,13,7,5,15.0,10,20,19,12,1
,9,16,14,18,17,5,3,6,12,7.0,1,2,20,10,15.0,,13.0,19,11.0,2,5,12,3,6,18,17,1,7,9,16,14,13,20.0,19,8,10,11,15
3.0,11,18,6,16,13,4,15,14,17,10.0,7,20,19,1,2.0,12.0,,8,9.0,20,4,17,15,14,16,13,7,10,11,18,6,3,19.0,8,12,1,9,2
16.0,13,7,5,3,8,20,10,4,14,18.0,17,19,11,2,9.0,15.0,1.0,12,,19,20,14,10,4,3,8,17,18,13,7,5,16,9.0,12,15,2,1,11
17.0,18,6,3,11,16,14,13,8,10,4.0,5,9,1,15,,19.0,20.0,2,,9,14,10,13,8,11,16,5,4,18,6,3,17,1.0,2,19,15,20,12
1.0,10,2,20,15,6,18,19,7,9,12.0,11,3,14,16,,,,5,13.0,3,18,9,19,7,15,6,11,12,10,2,20,1,,5,4,16,13,14
18.0,4,12,19,2,1,10,20,11,8,15.0,3,7,17,13,6.0,14.0,,16,5.0,7,10,8,20,11,2,1,3,15,4,12,19,18,6.0,16,14,13,5,17
11.0,8,15,12,20,2,9,6,1,7,5.0,19,14,13,4,18.0,17.0,,3,16.0,14,9,7,6,1,20,2,19,5,8,15,12,11,13.0,3,17,4,16,18
10.0,5,1,2,7,15,19,12,9,3,20.0,8,17,6,18,14.0,16.0,,13,4.0,17,19,3,12,9,7,15,8,20,5,1,2,10,14.0,13,16,18,4,6
,20,9,10,1,19,15,11,17,4,8.0,13,18,16,14,,5.0,3.0,6,2.0,18,15,4,11,17,1,19,13,8,20,9,10,2,,6,5,14,3,7
,6,3,17,14,5,1,7,18,16,19.0,12,15,10,9,20.0,2.0,4.0,11,8.0,15,1,16,7,18,14,5,12,19,6,3,17,4,10.0,11,2,9,8,20
19.0,3,17,4,13,20,7,16,5,6,,18,10,8,12,11.0,9.0,15.0,1,,10,7,6,16,5,13,20,18,2,3,17,4,19,11.0,1,9,12,15,8
20.0,2,10,1,8,11,12,5,19,18,9.0,16,13,3,7,4.0,6.0,14.0,17,,13,12,18,5,19,8,11,16,9,2,10,1,20,3.0,17,6,7,14,4
6.0,17,4,18,5,7,2,14,20,13,3.0,15,1,12,8,19.0,11.0,,9,10.0,1,2,13,14,20,5,7,15,3,17,4,18,6,,9,11,8,10,19
7.0,16,14,13,19,4,3,18,12,5,1.0,6,11,9,20,,10.0,2.0,15,,11,3,5,18,12,19,4,6,1,16,14,13,7,,15,10,20,2,9
9.0,7,5,16,4,3,8,17,13,15,6.0,14,12,2,11,10.0,1.0,,20,19.0,12,8,15,17,13,4,3,14,6,7,5,16,9,2.0,20,1,11,19,10
14.0,1,20,9,17,12,11,8,15,2,13.0,10,6,5,3,16.0,7.0,,4,18.0,6,11,2,8,15,17,12,10,13,1,20,9,14,5.0,4,7,3,18,16
15.0,12,19,8,10,14,6,9,16,1,11.0,2,5,4,17,13.0,3.0,7.0,18,,5,6,1,9,16,10,14,2,11,12,19,8,15,4.0,18,3,17,7,13
